year,category,term,date,kickoffdate,homeTeam,score,awayTeam,stadiumName,visitors,other,homeTeamId,awayTeamId,competitionName,jLeagueCompetitionId,competitionId
2026,1,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,東京V,vs,町田,味スタ,,ＤＡＺＮ,4,45,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,横浜FM,vs,浦和,日産ス,,ＤＡＺＮ,5,3,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第３節第１日,2026/02/21,2026-02-21T15:00:00+09:00,川崎F,vs,FC東京,Ｕ等々力,,ＤＡＺＮ,21,22,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第３節第１日,2026/02/21,2026-02-21T16:00:00+09:00,鹿島,vs,柏,メルスタ,,ＤＡＺＮ,1,11,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第３節第１日,2026/02/21,2026-02-21T14:30:00+09:00,清水,vs,神戸,アイスタ,,ＤＡＺＮ／静岡放送,7,18,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第３節第１日,2026/02/21,2026-02-21T15:00:00+09:00,名古屋,vs,長崎,豊田ス,,ＤＡＺＮ,8,47,明治安田J1百年構想 WESTグループ,35,35-W
2026,3,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,群馬,vs,山形,正田スタ,,ＤＡＺＮ,35,29,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,湘南,vs,八戸,レモンＳ,,ＤＡＺＮ,12,362,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,3,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,相模原,vs,秋田,ギオンス,,ＤＡＺＮ,273,270,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第３節第１日,2026/02/21,2026-02-21T14:00:00+09:00,大宮,vs,福島,ＮＡＣＫ,,ＤＡＺＮ,27,271,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
